City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
294,Novaya Igirma,57.1334,103.9112,8.67,80,100,1.5,RU,overcast clouds
295,Chake Chake,-5.2459,39.7666,76.32,83,52,4.7,TZ,broken clouds
296,Madang,-5.2246,145.7966,83.48,80,100,5.64,PG,overcast clouds
297,Reutte,47.4833,10.7167,41.92,70,7,4.41,AT,clear sky
298,Aberdeen,57.1437,-2.0981,54.21,78,0,8.05,GB,clear sky
299,Paraiso,9.8383,-83.8656,65.41,96,83,3.53,CR,broken clouds
300,Buin,-33.7333,-70.75,70.74,66,0,2.77,CL,clear sky
301,Acapulco,16.8634,-99.8901,80.42,83,1,5.75,MX,clear sky
302,Labuhan,-6.8844,112.2051,77.2,89,100,4.03,ID,moderate rain
303,Racine,42.7495,-88.0751,35.67,68,100,1.99,US,overcast clouds
304,Elko,41.0002,-115.5012,44.64,69,78,11.01,US,broken clouds
305,Pisco,-13.7,-76.2167,65.01,88,0,9.22,PE,clear sky
306,Porto Nacional,-10.7081,-48.4172,80.6,83,97,1.41,BR,overcast clouds
307,Xuddur,4.1213,43.8894,69.21,96,24,8.43,SO,few clouds
308,North Bend,43.4065,-124.2243,48.94,94,1,4.61,US,clear sky
309,Churapcha,62.0025,132.4325,-23.08,97,76,0.65,RU,broken clouds
310,Vila Velha,-20.3297,-40.2925,75.15,94,75,5.99,BR,light intensity drizzle
311,Antsohihy,-14.8796,47.9875,76.23,75,90,2.53,MG,overcast clouds
312,Capaci,38.1711,13.2393,59.25,92,40,5.75,IT,scattered clouds
313,Hualmay,-11.0964,-77.6139,64.81,84,100,10.69,PE,overcast clouds
314,Necochea,-38.5473,-58.7368,50.04,86,0,9.17,AR,clear sky
315,Whitehorse,60.7161,-135.0538,-9.9,76,20,3.0,CA,few clouds
316,La Orilla,17.9833,-102.2333,76.75,78,4,4.05,MX,clear sky
317,Uyemskiy,64.4743,40.8524,30.25,93,90,8.95,RU,light snow
318,Tuatapere,-46.1333,167.6833,50.14,93,100,1.86,NZ,overcast clouds
319,Yar-Sale,66.8333,70.8333,-1.14,90,100,20.42,RU,overcast clouds
320,Puerto Colombia,10.9878,-74.9547,80.69,77,100,19.08,CO,overcast clouds
321,Kidal,18.4411,1.4078,74.52,13,82,11.01,ML,broken clouds
322,San Jeronimo,-11.9472,-75.2829,49.71,90,100,4.5,PE,overcast clouds
323,Iqaluit,63.7506,-68.5145,26.33,73,90,11.99,CA,overcast clouds
